global_iso_id,nu,sw,n_air,gamma_self,elower,nu-err,sw-err,n_air-err,gamma_self-err,nu-ref,sw-ref,n_air-ref,gamma_self-ref
1,3.21093,1.532e-27,0.74,0.391,2126.4077,5,5,4,6,18,31,778,817
1,3.248006,3.445e-31,0.51,0.315,3994.2598,5,4,4,2,762,26,819,817
1,3.248211,1.149e-31,0.51,0.315,3994.2598,4,4,4,2,762,26,819,817
1,3.248742,3.513e-35,0.65,0.434,5630.1431,4,4,6,6,762,26,778,817
1,3.27513,5.959e-35,0.69,0.434,5549.7017,4,4,6,8,762,26,778,817
1,3.641201,1.422e-34,0.69,0.434,3962.918,5,4,4,2,762,26,819,817
1,3.693225,8.266e-34,0.61,0.352,4186.5688,4,4,4,2,762,26,819,817
1,3.7082,1.541e-35,0.67,0.412,5552.9766,4,4,4,2,762,26,819,817
1,3.796348,1.189e-35,0.62,0.371,6022.7842,4,4,4,2,762,26,819,817
1,3.854359,1.317e-32,0.41,0.183,4606.166,3,4,4,2,762,26,101,817
1,3.91384,1.864e-33,0.62,0.371,4195.4771,4,4,4,2,762,26,819,817
1,4.002621,1.429e-26,0.78,0.434,1739.4836,5,5,6,6,18,31,778,817
1,4.021315,3.744e-30,0.62,0.371,3864.9656,5,4,5,6,762,26,778,817
1,4.035835,3.96e-35,0.68,0.371,6022.5459,4,4,5,5,762,26,778,817
1,4.323122,3.632e-35,0.56,0.315,4559.707,4,4,4,2,762,26,819,817
1,4.32967,6.288e-30,0.56,0.315,3526.6279,5,4,4,2,762,26,819,817
1,4.33106,2.098e-30,0.56,0.315,3526.6267,5,4,4,2,762,26,819,817
